Name	Value
SaladVendingMachine	1
AutomatedWateringPlantPot	2
ThermalPlantHeater	3
WebDevelopmentforPathogenomica	4
WaterQualityMonitor	5
InternationalApp	6
ElectropolishingMachine	7
PlantClock	8
AppforInternationalStudents	9
VibratingPipes	0
MicrobreweryDevelopmentalGlass	1
AffordableandPortableElectromyography	2
BioinformaticsFlowOptimization	3
3D-Clinostat	4
RepositioningofPatientsinO.R.	5
StockSelectingProgram	6
AutomatedCollectionofCO2Data	7
WheelhouseStudiosRampRedesign	8
Go-Baby-Go	9
MakeathonProject	0
OilExtractingDeviceandWorkshop	1
BringingNaturalWorldtoWheelhouseStudios	2
EfficientIce-CreamDispenser	3
